CNIS/NSF,type,libellé principal,libellé complémentaire,durée,tutelle,niveau RNCP,lien site onisep.fr
201,Diplôme d'ingénieur,diplôme d'ingénieur de Telecom Nancy de l'Université de Lorraine,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/3
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole nationale supérieure en systèmes avancés et réseaux de l'Institut polytechnique de Grenoble,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/4
210,Diplôme d'ingénieur,diplôme d'ingénieur de l'Institut supérieur des sciences agronomiques agroalimentaires horticoles et du paysage,spécialité agronomie,3 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/5
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'École centrale de Lille,spécialité génie informatique et industriel,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/7
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole polytechnique universitaire de Savoie de l'université de Chambéry,spécialité instrumentation automatique informatique (IAI),5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/9
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole polytechnique de l'université de Tours,spécialité informatique,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/13
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole supérieure des sciences et technologies de l'ingénieur de Nancy de l'Université de lorraine,,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/15
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées de Strasbourg,spécialité mécatronique,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/17
201,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole nationale supérieure d'ingénieurs Sud Alsace de l'université de Mulhouse,spécialité mécanique,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/18
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'École centrale de Lille,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/21
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole centrale de Lyon,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/22
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole catholique d'arts et métiers de Lyon,,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/23
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole supérieure de chimie physique électronique de Lyon,spécialité chimie-génie des procédés,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/24
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole centrale de Marseille,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/25
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées de Rouen,spécialité génie mathématique,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/27
200,Diplôme d'ingénieur,diplôme d'ingénieur du Centre universitaire des sciences et techniques de l'université Clermont Ferrand II,spécialité génie mathématique et modélisation,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/28
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole nationale supérieure de génie industriel de l'Institut polytechnique de Grenoble,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/29
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole nationale supérieure en génie des technologies industrielles de l'Université de Pau,spécialité génie des procédés,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/30
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Institut catholique d'arts et métiers,,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/31
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'ENS d'électrotechnique d'électronique d'informatique d'hydraulique et des télécommunications de l'INP de Toulouse,spécialité mécanique des fluides,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/32
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole d'ingénieurs en génie des systèmes industriels,,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/34
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Ecole nationale supérieure en génie des systèmes industriels de l'Université de Lorraine,,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/39
200,Diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées Centre Val de Loire,spécialité génie des systèmes industriels,5 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/40
334,Brevet de technicien supérieur,Hôtellerie-restauration,option A mercatique et gestion hôtelière,2 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1317
223,Mention complémentaire,Joaillerie,,1 an,Ministère chargé de l'Éducation nationale,Niveau V : niveau BEP CAP,http://www.onisep.fr/http/redirection/formation/identifiant/1326
326,Magistère,Informatique,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/1421
341,Magistère,Aménagement,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/1426
344,Certificat d'aptitude professionnelle,Agent de sécurité,,2 ans,Ministère chargé de l'Éducation nationale,Niveau V : niveau BEP CAP,http://www.onisep.fr/http/redirection/formation/identifiant/1441
210,Certificat de spécialisation (agriculture),Technicien conseil en systèmes informatisés appliqués à l'agriculture,,1 an,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1447
214,Certificat de spécialisation (agriculture),Collaborateur du concepteur paysagiste,,1 an,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1453
234,Brevet de maîtrise,Menuisier de bâtiment et d'agencement,,2 ans,Chambre de métiers et de l'artisanat,Niveau II : niveau bac + 3 ou bac + 4,http://www.onisep.fr/http/redirection/formation/identifiant/1454
201,Diplôme d'ingénieur,diplôme d'ingénieur de Télécom Saint-Étienne de l'université de Saint-Étienne,spécialité optique (optique et vision industrielles) en partenariat avec l'ITII Loire,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/1471
255,Diplôme d'ingénieur,diplôme d'ingénieur de Télécom Saint-Étienne de l'université de Saint-Étienne,,3 ans,Ministère chargé de l'Enseignement supérieur et de la Recherche,Niveau I niveau au moins égal à bac + 5,http://www.onisep.fr/http/redirection/formation/identifiant/1473
212,Baccalauréat professionnel,Conduite et gestion d'une entreprise du secteur canin et félin,,3 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau IV : niveau bac,http://www.onisep.fr/http/redirection/formation/identifiant/1478
221,Brevet de technicien supérieur agricole,Sciences et technologies des aliments,spécialité produits laitiers,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1483
221,Brevet de technicien supérieur agricole,Sciences et technologies des aliments,spécialité viandes et produits de la pêche,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1484
221,Brevet de technicien supérieur agricole,Sciences et technologies des aliments,spécialité aliments et processus technologiques,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1485
212,Brevet de technicien supérieur agricole,Aquaculture,,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1486
212,Brevet de technicien supérieur agricole,Productions animales,,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1487
213,Brevet de technicien supérieur agricole,Gestion forestière,,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1489
214,Brevet de technicien supérieur agricole,Aménagements paysagers,,2 ans,Ministère de l'Agriculture de l'Agroalimentaire et de la Forêt,Niveau III : niveau bac + 2,http://www.onisep.fr/http/redirection/formation/identifiant/1490
